plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,rgb_tif,rgb_png
GAO20210427t173055p0000-2,28.94238901,-89.71738326,2021-04-27T17:30:55Z,Oil & Gas (1B2),CH4,mfm,"[-89.72199966372162, 28.93887656416108, -89.71383517153332, 28.946052835967812]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,173.8848582,74.27121506,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210427t173055p0000-2_l3a-ch4-mf-v1_plume.tif,GAO20210427t173055p0000-2_l3a-ch4-mf-v1_plume.png,GAO20210427t173055p0000-2_l3a-ch4-mf-v1_rgb.tif,GAO20210427t173055p0000-2_l3a-ch4-mf-v1_rgb.png
GAO20210427t174712p0000-1,29.08860809,-89.28648602,2021-04-27T17:47:12Z,Oil & Gas (1B2),CH4,mfm,"[-89.29019515853041, 29.084831176951234, -89.28191381962355, 29.0920679926193]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,894.2902331,479.778628,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210427t174712p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210427t174712p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210427t174712p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210427t174712p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210428t173030p0000-19,30.0370921,-93.332391,2021-04-28T17:30:30Z,Oil & Gas (1B2),CH4,mfm,"[-93.34955054434104, 30.0342489788009, -93.32585669804318, 30.05472774069516]",GAO,2023-05-14T20:23:41Z,NA,NA,NA,NA,5774.344132,1015.050665,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210428t173030p0000-19_l3a-ch4-mf-v1_plume.tif,GAO20210428t173030p0000-19_l3a-ch4-mf-v1_plume.png,GAO20210428t173030p0000-19_l3a-ch4-mf-v1_rgb.tif,GAO20210428t173030p0000-19_l3a-ch4-mf-v1_rgb.png
GAO20210428t175223p0000-1,30.21084002,-93.29384363,2021-04-28T17:52:23Z,Oil & Gas (1B2),CH4,mfm,"[-93.29792814586696, 30.20767494356183, -93.28979830314832, 30.214700563101964]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,1124.412126,368.553345,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210428t175223p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210428t175223p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210428t175223p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210428t175223p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t153811p0000-1,28.9470627,-89.70715225,2021-04-29T15:38:11Z,Oil & Gas (1B2),CH4,mfm,"[-89.7198217287521, 28.938506114836894, -89.71151330172165, 28.945776892705705]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,997.9919913,342.2138338,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t153811p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t153811p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t153811p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t153811p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t154206p0000-1,28.94702765,-89.70700982,2021-04-29T15:42:06Z,Oil & Gas (1B2),CH4,mfm,"[-89.71119954335995, 28.943378116489257, -89.70292685531331, 28.950648753035427]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,1169.552375,429.7482011,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t154206p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t154206p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t154206p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t154206p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t155110p0000-1,28.9987752,-89.959322,2021-04-29T15:51:10Z,Oil & Gas (1B2),CH4,mfm,"[-89.96493288801737, 28.99549706666881, -89.95661849764745, 29.002769057322485]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,1292.555851,423.9662055,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t155110p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t155110p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t155110p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t155110p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t155501p0000-1,28.9988059,-89.959286,2021-04-29T15:55:01Z,Oil & Gas (1B2),CH4,mfm,"[-89.96518847575238, 28.996577031204403, -89.95691009710636, 29.00384892946375]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,2866.090369,819.2687628,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t155501p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t155501p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t155501p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t155501p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t160113p0000-1,28.94592967,-90.03128299,2021-04-29T16:01:13Z,Oil & Gas (1B2),CH4,mfm,"[-90.03821115235633, 28.946687499904378, -90.03000818790174, 28.953865422852793]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,228.3960067,127.1852332,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t160113p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t160113p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t160113p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t160113p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t160451p0000-1,28.94611421,-90.03106239,2021-04-29T16:04:51Z,Oil & Gas (1B2),CH4,mfm,"[-90.03546668226343, 28.942238986447446, -90.02726408192325, 28.949416899031284]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,176.6000783,103.5919886,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t160451p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t160451p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t160451p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t160451p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t160936p0000-1,29.0981563,-89.98203,2021-04-29T16:09:36Z,Oil & Gas (1B2),CH4,mfm,"[-89.98622002417522, 29.094499911371038, -89.97804181542294, 29.101677415966503]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,112.1949593,61.35474008,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t160936p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t160936p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t160936p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t160936p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t161338p0000-1,29.09829707,-89.98127143,2021-04-29T16:13:38Z,Oil & Gas (1B2),CH4,mfm,"[-89.9862560515867, 29.09449997768905, -89.97796975965281, 29.101708962441084]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,56.65916333,24.19273817,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t161338p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t161338p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t161338p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t161338p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t164954p0000-1,28.9288187,-90.353459,2021-04-29T16:49:54Z,Oil & Gas (1B2),CH4,mfm,"[-90.36117368182026, 28.92547458375646, -90.35113605147912, 28.9342596431147]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,951.1427067,414.0081444,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t164954p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t164954p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t164954p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t164954p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t165411p0000-1,28.928818,-90.353423,2021-04-29T16:54:11Z,Oil & Gas (1B2),CH4,mfm,"[-90.36005610445861, 28.925735009402025, -90.35088173913468, 28.93376453753432]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,1322.297293,551.1578267,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t165411p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t165411p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t165411p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t165411p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t170220p0000-1,29.1137776,-90.483205,2021-04-29T17:02:20Z,Oil & Gas (1B2),CH4,mfm,"[-90.49152619167094, 29.10964895274316, -90.48146995926062, 29.11840312195191]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,500.9169815,146.598716,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t170220p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t170220p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t170220p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t170220p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t170658p0000-1,29.113683,-90.483207,2021-04-29T17:06:58Z,Oil & Gas (1B2),CH4,mfm,"[-90.48971287427513, 29.110371481006734, -90.48149499151113, 29.11755106461192]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,436.0597018,122.2539124,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t170658p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t170658p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t170658p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t170658p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t171206p0000-1,29.11836911,-90.50247409,2021-04-29T17:12:06Z,Oil & Gas (1B2),CH4,mfm,"[-90.50770324630025, 29.114305978045483, -90.49948486843026, 29.12145423059624]",GAO,2023-05-14T20:23:41Z,NA,NA,NA,NA,216.5351661,47.22500963,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t171206p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t171206p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t171206p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t171206p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210429t171648p0000-1,29.11830666,-90.50251156,2021-04-29T17:16:48Z,Oil & Gas (1B2),CH4,mfm,"[-90.50791801446337, 29.114342305036136, -90.49973578282884, 29.121490467075088]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,263.4045135,63.00963939,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210429t171648p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210429t171648p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210429t171648p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210429t171648p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210503t165940p0000-1,28.9465431,-89.706559,2021-05-03T16:59:40Z,Oil & Gas (1B2),CH4,mfm,"[-89.71074527573343, 28.943020533500746, -89.7025805263231, 28.95019674434767]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,3010.770566,503.1219717,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210503t165940p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210503t165940p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210503t165940p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210503t165940p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210503t165940p0000-2,28.94229,-89.715915,2021-05-03T16:59:40Z,Oil & Gas (1B2),CH4,mfm,"[-89.72003387117178, 28.938605981285885, -89.7117254349113, 28.945876760223086]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,1128.548011,153.755374,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210503t165940p0000-2_l3a-ch4-mf-v1_plume.tif,GAO20210503t165940p0000-2_l3a-ch4-mf-v1_plume.png,GAO20210503t165940p0000-2_l3a-ch4-mf-v1_rgb.tif,GAO20210503t165940p0000-2_l3a-ch4-mf-v1_rgb.png
GAO20210504t151639p0000-1,29.57077331,-89.51239308,2021-05-04T15:16:39Z,Oil & Gas (1B2),CH4,mfm,"[-89.52852071317533, 29.583191874616368, -89.52027009141818, 29.59036668856164]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,84.57493782,22.95284076,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210504t151639p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210504t151639p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210504t151639p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210504t151639p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210507t161606p0000-1,29.33279104,-91.87155783,2021-05-07T16:16:06Z,Oil & Gas (1B2),CH4,mfm,"[-91.87599568104513, 29.32883020802801, -91.86793665791446, 29.335887511742065]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,118.887127,24.05667895,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210507t161606p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210507t161606p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210507t161606p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210507t161606p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210507t161928p0000-1,29.3790838,-91.753159,2021-05-07T16:19:28Z,Oil & Gas (1B2),CH4,mfm,"[-91.75746073213843, 29.374903931723598, -91.7492897509054, 29.382024110606363]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,352.4587215,164.1441568,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210507t161928p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210507t161928p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210507t161928p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210507t161928p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210507t162307p0000-1,29.33276067,-91.87170235,2021-05-07T16:23:07Z,Oil & Gas (1B2),CH4,mfm,"[-91.87668231589305, 29.32867774769691, -91.86855092059638, 29.335766648621096]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,1296.815464,497.1839576,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210507t162307p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210507t162307p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210507t162307p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210507t162307p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210507t163418p0000-1,29.19034774,-91.61690201,2021-05-07T16:34:18Z,Oil & Gas (1B2),CH4,mfm,"[-91.62141790368328, 29.186079127699596, -91.61326225976934, 29.193167585535544]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,57.4180093,17.2586131,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210507t163418p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210507t163418p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210507t163418p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210507t163418p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210507t165132p0000-1,29.0775171,-90.870788,2021-05-07T16:51:32Z,Oil & Gas (1B2),CH4,mfm,"[-90.87532284563841, 29.073366435072312, -90.86710620519258, 29.080516018921795]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,267.5993205,54.71622734,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210507t165132p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210507t165132p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210507t165132p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210507t165132p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210507t170250p0000-1,28.8671697,-90.491146,2021-05-07T17:02:50Z,Oil & Gas (1B2),CH4,mfm,"[-90.4956528512183, 28.86277734369752, -90.48745432194504, 28.86992570035798]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,482.2169989,195.4039962,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210507t170250p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210507t170250p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210507t170250p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210507t170250p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210507t170718p0000-1,28.9289659,-90.352917,2021-05-07T17:07:18Z,Oil & Gas (1B2),CH4,mfm,"[-90.35684521916056, 28.923620137073748, -90.3486785395387, 28.93079938817563]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,1115.421783,211.7407106,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210507t170718p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210507t170718p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210507t170718p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210507t170718p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210507t173628p0000-1,29.229527,-89.390137,2021-05-07T17:36:28Z,Oil & Gas (1B2),CH4,mfm,"[-89.39431852533671, 29.22529436080727, -89.38602522893221, 29.232531719697374]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,532.7326854,126.9462005,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210507t173628p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210507t173628p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210507t173628p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210507t173628p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210507t174809p0000-1,29.5697876,-89.510911,2021-05-07T17:48:09Z,Oil & Gas (1B2),CH4,mfm,"[-89.51452860882986, 29.56136653563041, -89.50030973249962, 29.57370228534947]",GAO,2023-05-14T20:26:01Z,NA,NA,NA,NA,2510.497911,374.4899999,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210507t174809p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210507t174809p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210507t174809p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210507t174809p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210508t153124p0000-1,30.467475,-92.521425,2021-05-08T15:31:24Z,Oil & Gas (1B2),CH4,mfm,"[-92.525623460641, 30.464798042109198, -92.51743565019667, 30.471823690506138]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,256.1151663,122.6329248,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210508t153124p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210508t153124p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210508t153124p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210508t153124p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210508t162942p0000-1,30.00826304,-92.77644607,2021-05-08T16:29:42Z,Oil & Gas (1B2),CH4,mfm,"[-92.78033623631877, 30.005221889133665, -92.7722226499422, 30.012247842494887]",GAO,2023-05-14T20:32:18Z,NA,NA,NA,NA,782.9620506,460.745622,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210508t162942p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210508t162942p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210508t162942p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210508t162942p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210508t171534p0000-1,29.11843424,-90.50258039,2021-05-08T17:15:34Z,Oil & Gas (1B2),CH4,mfm,"[-90.50673363450272, 29.1142563461643, -90.49851515860267, 29.121436176817582]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,299.2924808,103.3894662,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210508t171534p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210508t171534p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210508t171534p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210508t171534p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210508t171948p0000-1,29.118294,-90.502532,2021-05-08T17:19:48Z,Oil & Gas (1B2),CH4,mfm,"[-90.50693012305732, 29.11505013951844, -90.49874783997154, 29.122198297317357]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,300.9385629,66.77087727,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210508t171948p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210508t171948p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210508t171948p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210508t171948p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210508t172714p0000-1,28.9290248,-90.3527,2021-05-08T17:27:14Z,Oil & Gas (1B2),CH4,mfm,"[-90.35734396933317, 28.926597041611487, -90.34914107852704, 28.93374480504712]",GAO,2023-05-14T20:24:17Z,NA,NA,NA,NA,560.6194586,96.28613167,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210508t172714p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210508t172714p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210508t172714p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210508t172714p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210508t173515p0000-1,28.94661265,-90.03076104,2021-05-08T17:35:15Z,Oil & Gas (1B2),CH4,mfm,"[-90.03538397394637, 28.945141485737395, -90.02718125242671, 28.952287822675444]",GAO,2023-05-14T20:25:09Z,NA,NA,NA,NA,251.8747834,105.1738728,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210508t173515p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210508t173515p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210508t173515p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210508t173515p0000-1_l3a-ch4-mf-v1_rgb.png
GAO20210508t174014p0000-1,28.9990559,-89.959171,2021-05-08T17:40:14Z,Oil & Gas (1B2),CH4,mfm,"[-89.96709824581174, 28.99735026857359, -89.95385247363568, 29.008934929683726]",GAO,2023-05-14T20:23:41Z,NA,NA,NA,NA,736.2700812,211.6377001,NA,NA,NA,NA,hrrr,Global Airborne Observatory,ASU GDCS,GAO20210508t174014p0000-1_l3a-ch4-mf-v1_plume.tif,GAO20210508t174014p0000-1_l3a-ch4-mf-v1_plume.png,GAO20210508t174014p0000-1_l3a-ch4-mf-v1_rgb.tif,GAO20210508t174014p0000-1_l3a-ch4-mf-v1_rgb.png
