X1,X2,X3,X4
Name,Design Capacity (cum/year),Country,State
Arzew GNL 3Z LNG Plant Algeria,4700000,Algeria,Oran
Arzew-GL1Z LNG Plant Algeria,7900000,Algeria,Oran
Arzew-GL2Z LNG Plant Algeria,8200000,Algeria,Oran
Skikda Algeria LNG Plant Algeria,7850000,Algeria,Skikda
Angola LNG Plant Angola,5200000,Angola,Zaire
Bahia Blanca GasPort (BBGP) Argentina,3800000,Argentina,Buenos Aires
GNL Escobar (Buenas Aires) FSRU LNG Terminal Argentina,4100000,Argentina,Buenos Aires
Darwin LNG Plant Australia,3600000,Australia,Northern Territory
Gladstone LNG Plant Australia,7800000,Australia,Queensland
Queensland Curtis LNG Project Australia,8500000,Australia,Queensland
Australia Pacific LNG Project Australia,9000000,Australia,Queensland
Pluto LNG Park Australia,4300000,Australia,Western Australia
North West Shelf LNG Project Australia,17700000,Australia,Western Australia
Gorgon LNG Plant Australia,15600000,Australia,Western Australia
Wheatstone LNG Plant Australia,8900000,Australia,Western Australia
Ichthys LNG Project Australia,8900000,Australia,Western Australia
Prelude Floating LNG Project Australia,3600000,Australia,Western Australia
Zeebrugge LNG Terminal Belgium,,Belgium,West Flanders
Bahia Salvador FSRU LNG Terminal Brazil,4100000,Brazil,Bahia
Pecem FSRU LNG Terminal Brazil,2000000,Brazil,Ceara
Guanabara Bay FSRU LNG Terminal Brazil,5800000,Brazil,Rio de Janeiro
Brunei LNG Terminal Brunei Darussalam,7200000,Brunei Darussalam,Belait
Canaport LNG Terminal Canada,7500000,Canada,New Brunswick
Mejillones LNG terminal Chile,1500000,Chile,II Region de Antofagasta
Quintero LNG Terminal Chile,2700000,Chile,V Region de Valparaiso
Putian Fujian CNOOC LNG Terminal China,5200000,China,Fujian
Guangdong Dapeng CNOOC LNG Terminal and Trunkline Project China,6800000,China,Guangdong
Yuedong (Jieyang) CNOOC LNG Terminal China,2000000,China,Guangdong
Zhuhai CNOOC LNG Terminal China,3500000,China,Guangdong
Shenzhen Diefu CNOOC LNG Terminal China,4000000,China,Guangdong
Dongguan LNG Terminal China,1000000,China,Guangdong
Beihai SINOPEC LNG Terminal China,3000000,China,Guangxi Zhuang
Hainan CNOOC LNG Terminal China,2000000,China,Hainan
Tangshan PetroChina LNG terminal China,3500000,China,Hebei
Rudong Jiangsu PetroChina LNG Terminal China,6500000,China,Jiangsu
Dalian PetroChina LNG Terminal China,6000000,China,Liaoning
Qingdao (Shandong) SINOPEC LNG Terminal China,3000000,China,Shandong
Shanghai CNOOC LNG terminal China,3030000,China,Shanghai
Tianjin FSRU CNOOC LNG Terminal China,2200000,China,Tianjin
Tianjin SINOPEC LNG Terminal China,3000000,China,Tianjin
Ningbo CNOOC LNG Terminal China,3000000,China,Zhejiang
Cartagena FSRU LNG Terminal Colombia,4100000,Colombia,Bolivar
Andres LNG Terminal Dominical Republic,1900000,Dominican Republic,Santo Domingo
Ain Sokhna Hoegh FSRU LNG Terminal Egypt,4100000,Egypt,As Suways
Ain Sokhna BW FSRU LNG Terminal Egypt,6200000,Egypt,As Suways
Damietta LNG Project Egypt,5000000,Egypt,Dumyat
Egypt (SEGAS) LNG Plant Egypt,7200000,Egypt,Dumyat
EG LNG Plant Equatorial Guinea,3700000,Equatorial Guinea,Bioko Norte
Fos Tonkin LNG Terminal France,4000000,France,Bouches-du-Rhone
,,,
Fos Max (Fos Cavaou) LNG Terminal France,8250000,France,Bouches-du-Rhone
Montoir LNG Terminal France,7300000,France,Loire-Atlantique
Dunkirk LNG Terminal France,10000000,France,Nord
Revithoussa LNG Terminal Greece,3300000,Greece,Attica
Dahej LNG Terminal India,10000000,India,Gujarat
Hazira LNG and Port India,5000000,India,Gujarat
Mundra LNG Terminal India,5000000,India,Gujarat
Kochi LNG Terminal India,5000000,India,Kerala
Dhabol LNG Terminal India,5000000,India,Maharashtra
Nusantara Jakarta Bay FSRU LNG Terminal Indonesia,4000000,Indonesia,Jakarta Raya
Bontang LNG Plant Indonesia,16900000,Indonesia,Kalimantan Timur
Lampung FSRU LNG Terminal Indonesia,3000000,Indonesia,Lampung
Tangguh LNG Plant Indonesia,7600000,Indonesia,Papua Barat
Donggi Senoro LNG Plant Indonesia,2000000,Indonesia,Sulawesi Tengah
Arun LNG Terminal and Plant Indonesia,12300000,Indonesia,Sumatera Utara
Hadera Deepwater LNG Terminal Israel,4100000,Israel,Haifa
Panigaglia (La Spezia) LNG Terminal Italy,2500000,Italy,La Spezia
Liverno Tuscana FSRU LNG Terminal Italy,4400000,Italy,Livorno
Adriatic LNG (Rovigo) Terminal Italy,5800000,Italy,Rovigo
Chita Joint LNG Terminal Japan,8000000,Japan,Aichi
Chita LNG Terminal Japan,12000000,Japan,Aichi
Chita Midorihama Works LNG Terminal Japan,8300000,Japan,Aichi
Nippon Hachinohe LNG Terminal Japan,1500000,Japan,Aomori
TEPCO Sodegaura LNG Terminal Japan,29400000,Japan,Chiba
TEPCO Futtsu LNG terminal Japan,16000000,Japan,Chiba
Fukuoka LNG Terminal Japan,,Japan,Fukuoka
Kyushu Electric - Tobata LNG Terminal Japan,6800000,Japan,Fukuoka
Saibu Hibiki LNG Terminal Japan,3500000,Japan,Fukuoka
Hokkaido Ishikari LNG Terminal Japan,1400000,Japan,Hokkaido
Osaka Gas Himeji LNG Terminal Japan,13300000,Japan,Hyogo
Hitachi LNG Terminal Japan,1000000,Japan,Ibaraki
Kagoshima LNG Terminal Japan,,Japan,Kagoshima
TEPCO Higashi-Ohgishima LNG Terminal Japan,14700000,Japan,Kanagawa
TEPCO Ohgishima LNG Terminal Japan,6700000,Japan,Kanagawa
Chubu-Kawagoe LNG Plant Japan,7700000,Japan,Mie
Chubu Yokkaichi LNG Terminal Japan,7100000,Japan,Mie
Shimizu Sodeshi LNG Terminal Japan,1600000,Japan,Miyagi
Shin Sendai LNG Terminal Japan,1500000,Japan,Miyagi
Tohuku Nihonkai Nigata LNG Terminal Japan,8900000,Japan,Niigata
Chubu Joetsu LNG Terminal Japan,2300000,Japan,Niigata
Naoetsu (Joetsu) LNG Terminal Japan,2000000,Japan,Niigata
Oita LNG Terminal Japan,5100000,Japan,Oita
Mizushima LNG Terminal Japan,1700000,Japan,Okayama
Kansai Sakai LNG Terminal Japan,2000000,Japan,Osaka
Senboku 1 LNG Terminal Japan,,Japan,Osaka
Senboku II LNG Terminal Japan,15300000,Japan,Osaka
Negishi LNG Terminal Japan,12000000,Japan,Tokyo
Chugoku Yanai LNG Terminal Japan,240000,Japan,Yamaguchi
,,,
Aqaba FSRU LNG Terminal Jordan,3800000,Jordan,Aqaba
,,,
Mina Al Ahmadi FSRU LNG Terminal Kuwait,6000000,Kuwait,Al Ahmadi
Marsa al-Brega LNG Plant Libya,3200000,Libyan Arab Jamahiriya,Al Wahah
Klaipeda FSRU LNG Terminal Lithuania,3200000,Lithuania,Klaipeda
Melaka (Lekas) LNG Terminal Malyasia,3800000,Malaysia,Melaka
Malaysia LNG Satu Plant Malaysia,8100000,Malaysia,Sarawak
Malaysia LNG Dua Plant Malaysia,9000000,Malaysia,Sarawak
Malaysia LNG Tiga Plant Malaysia,10800000,Malaysia,Sarawak
Costa Azul LNG Terminal Mexico,7500000,Mexico,Baja California
Manzanillo LNG Terminal Mexico,3800000,Mexico,Colima
Altamira LNG Terminal Mexico,5400000,Mexico,Tamaulipas
Gate LNG Terminal Netherland,8800000,Netherlands,Zuid-Holland
Nigeria LNG Plant Nigeria,22000000,Nigeria,Rivers
Snohvit Melkoa LNG project Norway,4200000,Norway,Finnmark
Skangass Risavika LNG Plant Norway,300000,Norway,Rogaland
Oman Qalhat LNG Plant Oman,10800000,Oman,Ash Sharqiyah
Port Qasim 1 FSRU LNG Terminal Pakistan,5700000,Pakistan,Sindh
PNG LNG Terminal Papua New Guinea,6900000,Papua New Guinea,National Capital District
Peru LNG Port Peru,4450000,Peru,Lima [Province]
Pagbilao LNG Terminal Philippines,3000000,Philippines,Quezon
Swinoujscie LNG Terminal Poland,3600000,Poland,zachodniopomorskie
Sines LNG Terminal Portugal,6000000,Portugal,Beja
Penuelas LNG Terminal Puerto Rico,1200000,Puerto Rico,Penuelas
Aguirre FSRU LNG Terminal Puerto Rico,4100000,Puerto Rico,Salinas
Qatargas 1 LNG Plant Qatar,9800000,Qatar,Al Khawr
Qatargas 2 LNG Plant Qatar,15600000,Qatar,Al Khawr
Qatargas 3 LNG Plant Qatar,7800000,Qatar,Al Khawr
Qatargas 4 LNG Plant Qatar,7800000,Qatar,Al Khawr
Rasgas 1 LNG Plant Qatar,6600000,Qatar,Al Khawr
Rasgas 2 LNG Plant Qatar,14100000,Qatar,Al Khawr
Rasgas 3 LNG Plant Qatar,15600000,Qatar,Al Khawr
Yung-An (Kaohsiung) LNG terminal Taiwan,10000000,Republic of China Taiwan,Kaohsiung
Taichung LNG Terminal Taiwan,3000000,Republic of China Taiwan,Taiwan
Boryeong LNG Terminal South Korea,3000000,Republic of Korea,Chungcheongnam-do
Samcheok LNG Receiving Terminal South Korea,,Republic of Korea,Gangwon-do
Pyeongtaek LNG Terminal South Korea,34500000,Republic of Korea,Gyeonggi-do
Tongyeong LNG Terminal South Korea,17000000,Republic of Korea,Gyeongsangnam-do
Incheon LNG Terminal South Korea,38000000,Republic of Korea,Incheon
Gwangyang LNG Terminal South Korea,1800000,Republic of Korea,Jeollanam-do
Sakhalin LNG Export Terminal Russia,9600000,Russian Federation,Sakhalin
Yamal LNG Plant Russia,5500000,Russian Federation,Yamal-Nenets
singapore LNG terminal Singapore,6000000,Singapore,South West
Huelva LNG Terminal Spain,8900000,Spain,Andalusia
El Musel (Gijon) LNG Terminal Spain,5400000,Spain,Asturias
Bilbao (BBG) LNG Terminal Spain,5300000,Spain,Basque Country
Barcelona LNG Terminal Spain,12800000,Spain,Catalonia
Renagosa Ferrol LNG Terminal Spain,2800000,Spain,Galicia
,,,
Cartegana LNG Terminal Spain,7600000,Spain,Murcia
Sagunto LNG Terminal Spain,6700000,Spain,Valencia
Map Ta Phut LNG terminal Thailand,10000000,Thailand,Rayong
,,,
Atlantic LNG Plant Trinidad and Tobago,15300000,Trinidad and Tobago,Point Fortin	bor
Aliaga LNG Terminal Turkey,4400000,Turkey,Izmir
Marmara Ereglisi LNG Terminal Turkey,5900000,Turkey,Tekirdag
Adgas LNG Plant UAE,8600000,United Arab Emirates,Abu Dhabi
Ruwais FSRU LNG Terminal UAE,4100000,United Arab Emirates,Abu Dhabi
Jebel Ali FSRU LNG Terminal UAE,6600000,United Arab Emirates,Dubay
Grain LNG Terminal UK,15000000,United Kingdom,Greater London
Teesside GasPort (TGP) FSRU UK,3000000,United Kingdom,Middlesbrough
South Hook LNG Terminal UK,15600000,United Kingdom,Pembrokeshire
Dragon LNG Terminal UK,4400000,United Kingdom,Pembrokeshire
Kenai LNG Plant USA,1500000,United States of America,Alaska
Elba Island LNG Terminal and Plant USA,12400000,United States of America,Georgia
Sabine Pass LNG Liquification Plant USA,13500000,United States of America,Louisiana
Lake Charles LNG Termina and Plant USA,17300000,United States of America,Louisiana
Cameron LNG Terminal and Plant USA,15000000,United States of America,Louisiana
Dominion Cove Point LNG Terminal and Plant USA,11000000,United States of America,Maryland
Everett Distrigas LNG Terminal USA,,United States of America,Massachusetts
Northeast Gatewway LNG Terminal USA,3000000,United States of America,Massachusetts
Gulf LNG Terminal USA,,United States of America,Mississippi
Corpus Christi Liqueficiation Plant USA,22500000,United States of America,Texas
Golden Pass LNG Terminal USA,,United States of America,Texas
Freeport LNG Terminal and Plant USA,13200000,United States of America,Texas
Yemen LNG Plant Yemen,7200000,Yemen,Shabwah
